vocabJapan,vocabKana,vocabTranslation,partOfSpeech,vocabFurigana,sentenceJapanese,sentenceTranslation,sentenceFurigana,notesKanjified,vocabPitch
女,おんな,"woman, female",noun,女[おんな],店員は若い女の人でした。,The salesclerk was a young woman.,店員[てんいん]は 若[わか]い<b> 女[おんな]</b>の 人[ひと]でした。,女,3
かなり,かなり,"fairly, rather",adverb,かなり,彼はかなり英語が上手です。,His English is pretty good.,彼[かれ]は<b>かなり</b> 英語[えいご]が 上手[じょうず]です。,可也,1
女の子,おんなのこ,girl,noun,女[おんな]の子[こ],あの女の子を知っていますか。,Do you know that girl?,あの<b> 女[おんな]の 子[こ]</b>を 知[し]っていますか。,女の子,3
男の子,おとこのこ,boy,noun,男[おとこ]の子[こ],男の子たちがサッカーをしている。,The boys are playing soccer.,<b> 男[おとこ]の 子[こ]</b>たちがサッカーをしている。,男の子,3
子,こ,"child, kid",noun,子[こ],その子は日本語が分からない。,That kid doesn't understand Japanese.,その<b> 子[こ]</b>は 日本語[にほんご]が 分[わ]からない。,子,
子供,こども,"child, kid",noun,子供[こども],電車で子供が騒いでいた。,Kids were making a lot of noise in the train.,電車[でんしゃ]で<b> 子供[こども]</b>が 騒[さわ]いでいた。,子供,0
大好き,だいすき,love,adjectival noun,大好[だいす]き,私は犬が大好きだ。,I love dogs.,私[わたし]は 犬[いぬ]が<b> 大好[だいす]き</b>だ。,大好き,1
いる,いる,"be present, stay",verb,いる,今日は一日中家にいました。,I was at home all day today.,今日[きょう]は 一日中[いちにちじゅう] 家[うち]に<b>いました</b>。,居る,0;1
好き,すき,"favorite, liked",adjectival noun,好[す]き,私はワインが好きです。,I like wine.,私[わたし]はワインが<b> 好[す]き</b>です。,好き,2
私,わたし,I (general),pronoun,私[わたし],私が行きましょう。,I'll go.,<b> 私[わたし]</b>が 行[い]きましょう。,私,
私たち,わたしたち,we,pronoun,私[わたし]たち,私たちは来月結婚します。,We will get married next month.,<b> 私[わたし]たち</b>は 来月[らいげつ] 結婚[けっこん]します。,私達,
友達,ともだち,"friend, companion",noun,友達[ともだち],私には友達がたくさんいます。,I have a lot of friends.,私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。,友達,0
家,うち,"home, household",noun,家[うち],家に遊びに来てください。,Please come over to my home.,<b> 家[うち]</b>に 遊[あそ]びに 来[き]てください。,家,0
ここ,ここ,here,pronoun,ここ,ここに本があります。,There's a book here.,<b>ここ</b>に 本[ほん]があります。,ここ,1;0
家,いえ,"house, dwelling",noun,家[いえ],ここが私の家です。,This is my house.,ここが 私[わたし]の<b> 家[いえ]</b>です。,家,2
客,きゃく,"visitor, customer",noun,客[きゃく],その店は若い客が多いです。,That shop has a lot of young customers.,その 店[みせ]は 若[わか]い<b> 客[きゃく]</b>が 多[おお]いです。,客,
天ぷら,てんぷら,Japanese deep-fried food,noun,天[てん]ぷら,私はえびの天ぷらが好きです。,I like shrimp tempura.,私[わたし]はえびの<b> 天[てん]ぷら</b>が 好[す]きです。,天ぷら,
元気,げんき,"healthy, energetic",adjectival noun,元気[げんき],おかげさまで元気です。,"I'm fine, thank you.",おかげさまで<b> 元気[げんき]</b>です。,元気,1
天気,てんき,weather,noun,天気[てんき],今日はいい天気ですね。,It's nice out today.,今日[きょう]はいい<b> 天気[てんき]</b>ですね。,天気,1
もらう,もらう,receive,verb,もらう,彼女からプレゼントをもらいました。,I got a present from her.,彼女[かのじょ]からプレゼントを<b>もらいました</b>。,貰う,0
人気,にんき,popularity,noun,人気[にんき],このバンドはとても人気があるよ。,That band is very popular.,このバンドはとても<b> 人気[にんき]</b>があるよ。,人気,0
空気,くうき,"air, atmosphere",noun,空気[くうき],ここは空気がきれいです。,The air is clean here.,ここは<b> 空気[くうき]</b>がきれいです。,空気,1
雨,あめ,rain,noun,雨[あめ],雨が降っています。,It's raining.,<b> 雨[あめ]</b>が 降[ふ]っています。,雨,1
雪,ゆき,"snow, snowfall",noun,雪[ゆき],クリスマスに雪が降りました。,It snowed on Christmas Day.,クリスマスに<b> 雪[ゆき]</b>が 降[ふ]りました。,雪,2
青い,あおい,blue,adjective,青[あお]い,ここの海はとても青い。,The sea here is very blue.,ここの 海[うみ]はとても<b> 青[あお]い</b>。,青い,2
青,あお,"blue, green",noun,青[あお],私の好きな色は青です。,My favorite color is blue.,私[わたし]の 好[す]きな 色[いろ]は<b> 青[あお]</b>です。,青,1
しゃべる,しゃべる,"chat, talk",verb,しゃべる,彼女はよくしゃべるね。,She talks a lot.,彼女[かのじょ]はよく<b>しゃべる</b>ね。,喋る,2;1
晴れる,はれる,"be sunny, clear up",verb,晴[は]れる,明日は晴れるといいですね。,I hope it'll be sunny tomorrow.,明日[あした]は<b> 晴[は]れる</b>といいですね。,晴れる,2
晴れ,はれ,"fine weather, clear sky",noun,晴[は]れ,明日の天気は晴れです。,Tomorrow's weather will be sunny.,明日[あす]の 天気[てんき]は<b> 晴[は]れ</b>です。,晴れ,2
明日,あした,tomorrow (colloquial),noun,明日[あした],では、また明日。,See you tomorrow.,では、また<b> 明日[あした]</b>。,明日,3
明るい,あかるい,"bright, cheerful",adjective,明[あか]るい,彼女は明るい性格です。,She has a cheerful personality.,彼女[かのじょ]は<b> 明[あか]るい</b> 性格[せいかく]です。,明るい,0 3
暗い,くらい,"dark, gloomy",adjective,暗[くら]い,東の空が暗いです。,The sky in the east is dark.,東[ひがし]の 空[そら]が<b> 暗[くら]い</b>です。,暗い,0
テーブル,てーぶる,table,noun,テーブル,新しいテーブルを買いました。,I bought a new table.,新[あたら]しい<b>テーブル</b>を 買[か]いました。,テーブル,0
昨日,きのう,yesterday (colloquial),noun,昨日[きのう],昨日、友達に会った。,I met my friend yesterday.,<b> 昨日[きのう]</b>、 友達[ともだち]に 会[あ]った。,昨日,2
昨年,さくねん,"last year (formal, often used in writing)",noun,昨年[さくねん],昨年は地震が多い年でした。,We had a lot of earthquakes last year.,<b> 昨年[さくねん]</b>は 地震[じしん]が 多[おお]い 年[とし]でした。,昨年,0
一昨日,おととい,the day before yesterday (colloquial),noun,一昨日[おととい],一昨日彼から電話がありました。,I got a phone call from him the day before yesterday.,<b> 一昨日[おととい]</b> 彼[かれ]から 電話[でんわ]がありました。,一昨日,3
東,ひがし,"east, eastern",noun,東[ひがし],日は東から上ります。,The sun rises in the east.,日[ひ]は<b> 東[ひがし]</b>から 上[のぼ]ります。,東,0 3;Dong
西,にし,"west, western",noun,西[にし],太陽は西に沈みます。,The sun sets in the west.,太陽[たいよう]は<b> 西[にし]</b>に 沈[しず]みます。,西,0;Xi
ゲーム,げーむ,game,noun,ゲーム,私たちはビデオゲームをした。,We played a video game.,私[わたし]たちはビデオ<b>ゲーム</b>をした。,ゲーム,1
南,みなみ,south,noun,南[みなみ],私の家は町の南にあります。,My house is in the south of the town.,私[わたし]の 家[いえ]は 町[まち]の<b> 南[みなみ]</b>にあります。,南,0
北,きた,north,noun,北[きた],ロシアは日本の北にあります。,Russia is north of Japan.,ロシアは 日本[にっぽん]の<b> 北[きた]</b>にあります。,北,0 2
向かう,むかう,"face, head toward",verb,向[む]かう,今、会社に向かっています。,I'm heading for the office right now.,今[いま]、 会社[かいしゃ]に<b> 向[む]かって</b>います。,向かう,0
向こう,むこう,"over there, on the other side",noun,向[む]こう,友達は向こうにいます。,My friend is over there.,友達[ともだち]は<b> 向[む]こう</b>にいます。,向こう,2 0
方向,ほうこう,"direction, course",noun,方向[ほうこう],あの人たちは皆、同じ方向を見ている。,Those people are all looking at the same direction.,あの 人[ひと]たちは 皆[みな]、 同[おな]じ<b> 方向[ほうこう]</b>を 見[み]ている。,方向,0
どうして,どうして,why,interrogative,どうして,どうして泣いているの。,Why are you crying?,<b>どうして</b> 泣[な]いているの。,どうして,1
開ける,あける,"open, unlock (doors, windows, etc.)",verb,開[あ]ける,窓を開けてください。,Please open the window.,窓[まど]を<b> 開[あ]けて</b>ください。,開ける,0
開く,ひらく,"open (books, eyes, etc.)",verb,開[ひら]く,３２ページを開いてください。,Please open to page 32.,３２ページを<b> 開[ひら]いて</b>ください。,開く,2
開く,あく,open,verb,開[あ]く,電車のドアが開きました。,The train door opened.,電車[でんしゃ]のドアが<b> 開[あ]きました</b>。,開く,0
閉める,しめる,"shut, close (doors, windows, etc.)",verb,閉[し]める,ちゃんとドアを閉めてよ。,Can you fully close the door?,ちゃんとドアを<b> 閉[し]めて</b>よ。,閉める,2
閉じる,とじる,"shut, close (books, eyes, etc.)",verb,閉[と]じる,教科書を閉じてください。,Please close your textbook.,教科書[きょうかしょ]を<b> 閉[と]じて</b>ください。,閉じる,2
ミーティング,みーてぃんぐ,meeting,noun,ミーティング,朝９時からミーティングが始まった。,The meeting started at 9 a.m.,朝[あさ]９ 時[じ]から<b>ミーティング</b>が 始[はじ]まった。,ミーティング,0
閉まる,しまる,"be shut, be closed",verb,閉[し]まる,お店はもう閉まっていました。,The store was already closed.,お 店[みせ]はもう<b> 閉[し]まって</b>いました。,閉まる,2
聞く,きく,"hear, ask",verb,聞[き]く,彼女はラジオを聞いています。,She's listening to the radio.,彼女[かのじょ]はラジオを<b> 聞[き]いて</b>います。,聞く,0
聞こえる,きこえる,"hear, be heard",verb,聞[き]こえる,隣の部屋からテレビの音が聞こえる。,I can hear the sound of TV from the next room.,隣[となり]の 部屋[へや]からテレビの 音[おと]が<b> 聞[き]こえる</b>。,聞こえる,0
時間,じかん,"time, hour",noun,時間[じかん],今は時間がありません。,I don't have time now.,今[いま]は<b> 時間[じかん]</b>がありません。,時間,0
年間,ねんかん,period of one year,noun,年間[ねんかん],年間５万人がここを訪れます。,"This place gets 50,000 visitors a year.",<b> 年間[ねんかん]</b>５ 万[まん] 人[にん]がここを 訪[おとず]れます。,年間,0
つける,つける,"switch on, turn on",verb,つける,電気をつけてください。,Please turn on the light.,電気[でんき]を<b>つけて</b>ください。,点けて,2;0
高い,たかい,"high, tall",adjective,高[たか]い,これがこの町で一番高いビルです。,This is the tallest building in this town.,これがこの 町[まち]で 一番[いちばん]<b> 高[たか]い</b>ビルです。,高い,2
高さ,たかさ,height,noun,高[たか]さ,富士山の高さは３，７７６メートルです。,"The height of Mt. Fuji is 3,776m.",富士山[ふじさん]の<b> 高[たか]さ</b>は３，７７６メートルです。,高さ,1
安い,やすい,"cheap, inexpensive",adjective,安[やす]い,この服はとても安かった。,These clothes were very cheap.,この 服[ふく]はとても<b> 安[やす]かった</b>。,安い,2
低い,ひくい,"low, short",adjective,低[ひく]い,彼は背が低い。,He's short.,彼[かれ]は 背[せ]が<b> 低[ひく]い</b>。,低い,2
初めて,はじめて,for the first time,adverb,初[はじ]めて,東京に来るのは初めてです。,It's my first time visiting Tokyo.,東京[とうきょう]に 来[く]るのは<b> 初[はじ]めて</b>です。,初めて,2
